university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Often,6-10 hrs,Sometimes,Neither good nor bad,Strong support,Average,Neutral,"Yes, exactly what I wanted",Mostly,0.562,0.25,0.75,0.75,C1_3_20_to_3_49
BRAC,EEE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,About half,7-8 hrs,Almost always,none,Sometimes,Excellent for focused study,Very little support,Difficult to manage,Neutral,"Yes, exactly what I wanted",Somewhat,0.438,0.333,0.625,0.667,C1_3_20_to_3_49
BRAC,CSE,0.833,4,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,6-7 hrs,Rarely,6-10 hrs,Often,Neither good nor bad,Very little support,Difficult to manage,Neutral,Somewhat different,Mostly,0.375,0.5,0.375,0.583,C1_3_20_to_3_49
BRAC,EEE,0.917,4,90% or more,Less than 3 hrs,Consistent throughout the semester,A little,5-6 hrs,Rarely,none,Almost every day,Mostly suitable,Very little support,Average,Satisfied,Close to what I wanted,Mostly,0.5,0.5,0.5,0.75,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,6-10 hrs,Often,Mostly suitable,No support,Average,Neutral,Somewhat different,Mostly,0.438,0.5,0.375,0.583,C1_3_20_to_3_49
BRAC,ECE,0.833,4,75-89%,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Average,Satisfied,"Yes, exactly what I wanted",Mostly,0.375,0.333,0.75,0.833,C0_below_3_20
BRAC,EEE,0.917,4,90% or more,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,11-15 hrs,Never,Somewhat distracting,Good support,Difficult to manage,Neutral,Close to what I wanted,Mostly,0.75,0.333,0.5,0.667,C3_3_75_plus
BRAC,CSE,0.917,4,90% or more,11-15 hrs,Regularly but not every day,About half,Less than 5 hrs,Almost always,1-5 hrs,Sometimes,Excellent for focused study,Very little support,Very healthy and balanced,Satisfied,Close to what I wanted,Mostly,0.688,0.333,0.625,0.75,C1_3_20_to_3_49
BRAC,EEE,0.833,4,90% or more,7-10 hrs,Mostly consistent routine,A little,6-7 hrs,Rarely,6-10 hrs,Often,Somewhat distracting,Some support,Average,Neutral,Close to what I wanted,Completely,0.625,0.583,0.375,0.75,C1_3_20_to_3_49
BRAC,ECE,0.917,4,75-89%,Less than 3 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Sometimes,none,Almost every day,Excellent for focused study,Some support,Difficult to manage,Dissatisfied,"Yes, exactly what I wanted",Slightly,0.375,0.417,0.75,0.5,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Regularly but not every day,A little,6-7 hrs,Often,none,Often,Somewhat distracting,Some support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Somewhat,0.375,0.5,0.375,0.667,C0_below_3_20
BRAC,ECE,0.917,4,75-89%,7-10 hrs,Mostly just before exams,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Excellent for focused study,Some support,Average,Very satisfied,Close to what I wanted,Somewhat,0.375,0.583,0.75,0.75,C0_below_3_20
BRAC,CSE,0.917,4,90% or more,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,Neutral,"Yes, exactly what I wanted",Slightly,0.438,0.5,0.625,0.583,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,Less than 3 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,none,Almost every day,Mostly suitable,No support,Mostly manageable,Satisfied,Somewhat different,Mostly,0.375,0.333,0.375,0.667,C2_3_50_to_3_74
BUET,CSE,0.875,4,90% or more,3-6 hrs,Mostly just before exams,A little,7-8 hrs,Often,1-5 hrs,Rarely,Somewhat distracting,Good support,Very healthy and balanced,Very satisfied,Mostly different,Slightly,0.562,0.667,0.5,0.5,C1_3_20_to_3_49
BUET,CSE,0.875,4,75-89%,7-10 hrs,Consistent throughout the semester,Most of it,7-8 hrs,Almost always,6-10 hrs,Often,Mostly suitable,Some support,Mostly manageable,Very satisfied,Somewhat different,Completely,0.562,0.5,0.625,0.833,C2_3_50_to_3_74
BRAC,CSE,0.917,4,90% or more,7-10 hrs,Consistent throughout the semester,Most of it,Less than 5 hrs,Rarely,none,Sometimes,Excellent for focused study,Some support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Somewhat,0.75,0.333,0.75,0.75,C1_3_20_to_3_49
CUET,CSE,0.875,4,75-89%,7-10 hrs,Regularly but not every day,Most of it,7-8 hrs,Sometimes,6-10 hrs,Often,Neither good nor bad,Very little support,Average,Satisfied,Close to what I wanted,Completely,0.438,0.583,0.375,0.833,C3_3_75_plus
